실험 번호,Epoch,Batch Size,Dropout Rate,Learning Rate,L2 Norm,Hidden Dim,Num Layers,Train Loss (Best),Test Loss (Best),Train Acc (Best),Test Acc (Best)
40,40,64,0.1,0.001,0.0,128,2,0.7936 (ep:40),1.1117 (ep:3),0.6334 (ep:38),0.4290 (ep:7)
41,40,64,0.1,0.0005,1e-05,64,1,0.9613 (ep:39),1.0990 (ep:1),0.5362 (ep:39),0.4353 (ep:16)
42,40,64,0.1,0.0005,1e-05,64,2,0.9314 (ep:39),1.0954 (ep:6),0.5635 (ep:38),0.4395 (ep:17)
43,40,64,0.1,0.0005,1e-05,128,1,0.9349 (ep:40),1.1019 (ep:7),0.5472 (ep:40),0.4280 (ep:14)
44,40,64,0.1,0.0005,1e-05,128,2,0.9093 (ep:40),1.0914 (ep:7),0.5680 (ep:40),0.4290 (ep:12)
45,40,64,0.1,0.0005,0.0,64,1,0.9251 (ep:40),1.0986 (ep:4),0.5561 (ep:40),0.4196 (ep:31)
46,40,64,0.1,0.0005,0.0,64,2,0.9055 (ep:40),1.0915 (ep:1),0.5761 (ep:38),0.4206 (ep:4)
47,40,64,0.1,0.0005,0.0,128,1,0.8984 (ep:39),1.0775 (ep:1),0.5706 (ep:39),0.4532 (ep:18)
48,40,64,0.1,0.0005,0.0,128,2,0.9436 (ep:40),1.0919 (ep:1),0.5443 (ep:38),0.4280 (ep:1)
49,40,64,0.3,0.001,1e-05,64,1,0.8880 (ep:40),1.0879 (ep:5),0.5811 (ep:40),0.4437 (ep:14)
50,40,64,0.3,0.001,1e-05,64,2,0.9060 (ep:40),1.0923 (ep:1),0.5672 (ep:40),0.4322 (ep:14)
51,40,64,0.3,0.001,1e-05,128,1,1.0102 (ep:21),1.0848 (ep:1),0.4986 (ep:21),0.4311 (ep:1)
52,40,64,0.3,0.001,1e-05,128,2,0.8942 (ep:39),1.0665 (ep:10),0.5680 (ep:39),0.4385 (ep:10)
53,40,64,0.3,0.001,0.0,64,1,0.8745 (ep:40),1.0755 (ep:2),0.5872 (ep:40),0.4479 (ep:15)
54,40,64,0.3,0.001,0.0,64,2,0.8984 (ep:40),1.0876 (ep:10),0.5774 (ep:39),0.4364 (ep:28)
55,40,64,0.3,0.001,0.0,128,1,0.9014 (ep:40),1.0913 (ep:3),0.5709 (ep:40),0.4395 (ep:7)
56,40,64,0.3,0.001,0.0,128,2,0.9152 (ep:40),1.1005 (ep:8),0.5685 (ep:40),0.4395 (ep:31)
57,40,64,0.3,0.0005,1e-05,64,1,1.0027 (ep:39),1.0995 (ep:7),0.4983 (ep:39),0.4322 (ep:14)
58,40,64,0.3,0.0005,1e-05,64,2,0.9517 (ep:40),1.0881 (ep:4),0.5425 (ep:40),0.4364 (ep:4)
59,40,64,0.3,0.0005,1e-05,128,1,0.9518 (ep:39),1.0909 (ep:1),0.5388 (ep:38),0.4196 (ep:6)
60,40,64,0.3,0.0005,1e-05,128,2,0.9446 (ep:40),1.1027 (ep:8),0.5430 (ep:39),0.4311 (ep:20)
61,40,64,0.3,0.0005,0.0,64,1,0.9573 (ep:40),1.0795 (ep:1),0.5469 (ep:38),0.4290 (ep:35)
62,40,64,0.3,0.0005,0.0,64,2,0.9754 (ep:40),1.0963 (ep:7),0.5246 (ep:40),0.4238 (ep:20)
63,40,64,0.3,0.0005,0.0,128,1,0.9436 (ep:39),1.0906 (ep:18),0.5580 (ep:39),0.4238 (ep:8)
64,40,64,0.3,0.0005,0.0,128,2,0.9072 (ep:38),1.0907 (ep:2),0.5743 (ep:38),0.4311 (ep:12)
