실험 번호,Epoch,Train Loss,Test Loss,Train Acc,Test Acc
1,1,0.6977263431532772,1.7754432043191888,0.7010255061793321,0.3038906414300736
1,2,0.3357893860860464,2.016723295366225,0.8695766500131475,0.3459516298633018
1,3,0.23728677413352628,2.5879021961982316,0.9056008414409676,0.3470031545741325
1,4,0.16641581338658135,2.4542132599747393,0.941362082566395,0.3512092534174553
1,5,0.11903397329474888,2.2252316837180426,0.955035498290823,0.35331230283911674
1,6,0.08767974727559083,2.7526558947237256,0.9708125164343939,0.35331230283911674
1,7,0.0950492477505349,2.7840231126791295,0.9658164606889298,0.36803364879074657
1,8,0.061058616359203136,3.141520518359075,0.9813305285301078,0.3070452155625657
1,9,0.0464385052574267,3.386644162464844,0.9860636339731791,0.3480546792849632
1,10,0.07664282153238834,3.1762056438454067,0.9744938206678938,0.334384858044164
1,11,0.09949729527740331,3.602563486991746,0.9660794109913227,0.305993690851735
1,12,0.06494844874135451,3.3333167980898066,0.9760715224822508,0.35436382754994744
1,13,0.05942691445287955,3.6370659278143593,0.9787010255061793,0.28601472134595163
1,14,0.07116680190480448,3.4490969782748055,0.9768603733894294,0.35436382754994744
1,15,0.05564616256827685,3.135270915698303,0.984485932158822,0.36908517350157727
1,16,0.033275803451529425,3.4897192695288752,0.9900078885090717,0.31335436382754994
1,17,0.028548427268004623,3.2812160004075266,0.9923744412306074,0.323869610935857
1,18,0.032596494253691016,3.645022182434515,0.9918485406258217,0.3322818086225026
1,19,0.0171716750802459,3.4963510778549467,0.9960557454641072,0.30914826498422715
1,20,0.00875736229550735,3.2138571641422597,0.9981593478832501,0.31019978969505785
1,21,0.014732062542341334,4.346822421508131,0.9976334472784644,0.27129337539432175
1,22,0.01701668424415739,3.7417217625929857,0.9955298448593216,0.3196635120925342
1,23,0.04956664507677218,4.245132854684294,0.9850118327636077,0.288117770767613
1,24,0.042988740484706044,3.329637990263609,0.9860636339731791,0.31650893796004204
1,25,0.048458538810391194,3.2698045539053706,0.9868524848803576,0.33753943217665616
1,26,0.021046099149409702,3.267173660039651,0.9936891927425716,0.33964248159831756
1,27,0.045382360108598356,3.5733535051596528,0.987904286089929,0.38801261829652994
1,28,0.039649453240415154,3.567948322065496,0.9876413357875361,0.3207150368033649
1,29,0.02723242325672516,3.566633777036777,0.9926373915330002,0.3470031545741325
1,30,0.01509871041853311,3.657795865202301,0.9960557454641072,0.3228180862250263
1,31,0.019070408014064375,3.4527293715692595,0.996581646068893,0.3491062039957939
1,32,0.008095084106470765,3.8967805271018316,0.9984222981856429,0.32597266035751843
1,33,0.007295543446332655,3.855241371630118,0.9978963975808572,0.3228180862250263
1,34,0.006282821818652347,3.7758527135498015,0.9981593478832501,0.3280757097791798
1,35,0.012477420299814643,4.0535442718822745,0.9971075466736786,0.3038906414300736
1,36,0.030982098944510657,3.7680875858924616,0.9910596897186432,0.3291272344900105
1,37,0.060010849821224295,3.9016045066836504,0.9818564291348935,0.34174553101997895
1,38,0.055868558933389774,3.318680090671082,0.9821193794372863,0.3491062039957939
1,39,0.026749760265869355,3.3977939588665085,0.9918485406258217,0.305993690851735
1,40,0.017156588072077227,3.4801079262945054,0.9944780436497502,0.36067297581493163
2,1,0.7251343781105506,1.510454484215545,0.6876150407572968,0.3627760252365931
